ZooCode,LifeStage,CommonName,Comments,StartYear,EndYear,NativeOrIntro,Phylum,Class,Order,Family,Genus,Species,SalinityPreference
N_mercedis,NA,Neomysis mercedis,NA,1972,NA,NA,Arthropoda,Crustacea,Mysida,NA,NA,NA,NA
Unidentified_mysid,NA,Unidentified mysid,NA,2007,NA,NA,Arthropoda,Crustacea,Mysida,NA,NA,NA,NA
BARNNAUP,Nauplii,barnacle nauplii,NA,1972,2007,NA,Arthropoda,Cirripedia,NA,NA,NA,NA,NA
COPNAUP,Nauplii,copepod nauplii (used OTHNAUP from 1989 on),NA,1972,1988,NA,Arthropoda,Copepoda,NA,NA,NA,NA,NA
OSTRAC,All,Ostracod,NA,2002,2007,NA,Arthropoda,Ostracoda,NA,NA,NA,NA,NA
OTHCOPNAUP,Nauplii,other copepod nauplii,(used 1989 on),1989,2007,NA,Arthropoda,Copepoda,NA,NA,NA,NA,NA
ASPLANCH,All,Asplanchna spp.,NA,1972,2007,NA,Rotatoria,Monogononta,Ploima,Asplanchnidae,Asplanchna,spp.,freshwater
KERATELA,All,Keratella spp.,NA,1972,2007,NA,Rotatoria,Monogononta,Ploima,Brachionidae,Keratella,spp.,freshwater
OTHROT,All,other Rotifers,zoo code changed from 2 to 95 in 2011,1972,2007,NA,Rotatoria,NA,Ploima,NA,NA,NA,NA
POLYARTH,All,Polyarthra spp.,NA,1972,2007,NA,Rotatoria,Monogononta,Ploima,Synchaetidae,Polyarthra,spp.,freshwater
SYNCH,All,Synchaeta spp.,NA,1972,2007,NA,Rotatoria,Monogononta,Ploima,Synchaetidae,Synchaeta,spp.,freshwater
SYNCHBIC,All,Synchaeta bicornis,NA,1972,2007,N,Rotatoria,Monogononta,Ploima,Synchaetidae,Synchaeta,bicornis,low salinity
TRICHO,All,Trichocerca spp.,NA,1972,2007,NA,Rotatoria,Monogononta,Ploima,Trichocercidae,Trichocerca,spp.,freshwater
Unidentified_Amphipod,NA,Unidentified Amphipod,NA,2014,NA,NA,Arthropoda,Malacostraca,Amphipoda,,,,
G_japonica,NA,Grandidierella japonica,NA,2014,NA,I,Arthropoda,Malacostraca,Amphipoda,Aoridae,Grandideierella,japonica,
Caprelidae_sp,NA,Caprelidae sp,NA,2014,NA,NA,Arthropoda,Malacostraca,Amphipoda,Caprelidae,,,
Unidentified_Corophium,NA,Unidentified Corophium,NA,2014,NA,NA,Arthropoda,Malacostraca,Amphipoda,Corophiidae,Corophium,sp.,
Ampithoe_sp,NA,Ampithoe sp,NA,2014,NA,,Arthropoda,Malacostraca,Amphipoda,Corophiidae,Ampithoe,sp.,
A_spinicorne,NA,Americorophium spinicorne,NA,2014,NA,,Arthropoda,Malacostraca,Amphipoda,Corophiidae,Americorophium,spinicorne,
A_stimpsoni,NA,Americorophium stimpsoni,NA,2014,NA,,Arthropoda,Malacostraca,Amphipoda,Corophiidae,Americorophium,stimpsoni,
Monocorophium_sp,NA,Monocorophium sp,NA,2014,NA,,Arthropoda,Malacostraca,Amphipoda,Corophiidae,Monocorophium,sp.,
C_alienense,NA,Corophium alienense,NA,2014,NA,I,Arthropoda,Malacostraca,Amphipoda,Corophiidae,Corophium,alienense,high
G_daiberi,NA,Gammarus daiberi,NA,2014,NA,I,Arthropoda,Malacostraca,Amphipoda,Gammaridae,Gammarus,daiberi,low
A_abdita,NA,Ampelisca abdita,NA,2014,NA,,Arthropoda,Malacostraca,Amphipoda,Gammaridae,Ampelisca,abdita,
Crangonyx_sp,NA,Crangonyx sp,NA,2014,NA,,Arthropoda,Malacostraca,Amphipoda,Gammaridae,Crangonyx,sp.,
Unidentified_Gammarus,NA,Unidentified Gammarus,NA,2014,NA,NA,Arthropoda,Malacostraca,Amphipoda,Gammaridae,Gammarus,sp.,
Hyalella_sp,NA,Hyalella sp,NA,2014,NA,,Arthropoda,Malacostraca,Amphipoda,Gammaridae,Hyalella,sp.,
